county,cte18,cte22,cte_change
Allegany County,24.56,29.43,4.870000000000001
Anne Arundel County,14.3,15.35,1.049999999999999
Baltimore City,31.51,27.98,-3.530000000000001
Baltimore County,24.89,42.32,17.43
Calvert County,40.75,49.75,9
Caroline County,47.28,59.6,12.32
Carroll County,38.7,43.79,5.089999999999996
Cecil County,32.27,32.51,0.23999999999999488
Charles County,37.81,38.01,0.19999999999999574
Dorchester County,44.22,45.49,1.2700000000000031
Frederick County,21.28,31.06,9.779999999999998
Garrett County,73.31,84.82,11.509999999999991
Harford County,33.88,41.33,7.449999999999996
Howard County,19.32,25.61,6.289999999999999
Kent County,66.21,66.15,-0.05999999999998806
Montgomery County,10.26,14.22,3.960000000000001
Prince George's County,13.27,3.11,-10.16
Queen Anne's County,47.39,48.03,0.6400000000000006
St. Mary's County,44.14,47.5,3.3599999999999994
Somerset County,43.79,69.4,25.610000000000007
Talbot County,56.68,47.6,-9.079999999999998
Washington County,NA,53.6,NA
Wicomico County,19.26,33.2,13.940000000000001
Worcester County,45.03,56.32,11.29
