county,number_hs_grads,public_school_student_teacher_ratio,pub_expenditure,bachelors_degree_attainment_percent,high_school_attainment_percent,number_of_2_year_colleges,number_of_4_year_colleges_and_universities,x2_year_college_enrollment,x4_year_college_university_enrollment,geoid,total_race,white,black,american_indian,asian,native_hawaiian_pi,latino,med_income,hs_grad_rate_pct_21,hs_grad_rate_pct_22,college_enroll_pct_12mos_21,college_enroll_pct_24mos_19,cte_participation_pct,pct_white,pct_black,pct_latino,pct_asian
Allegany County,642,13.9,13771,18.3,90,1,1,2586,4831,24001,68684,60234,5826,90,608,4,1340,51090,90.03,90.77,49.6,60.3,29.43,87.69728029817716,8.482324850037855,1.9509638343719062,0.8852134412672529
Anne Arundel County,5268,14.7,13648,40.9,92.1,1,2,12655,548,24003,584064,405112,98852,2021,22836,289,48638,108048,90.25,88.63,58.6,69.9,15.35,69.3608919570458,16.92485754985755,8.327512053473592,3.909845496383958
Baltimore City,4108,16.1,15376,31.2,84.9,1,11,4909,59254,24510,592211,173079,364879,1706,14887,131,33246,54124,69.2,68.65,46.6,55.8,27.98,29.22590090356309,61.61300617516392,5.6138774862337915,2.513799980074669
Baltimore County,7171,15.1,13880,38.6,91.1,1,7,17732,42571,24005,850702,489211,251415,2293,52047,972,49211,81846,86.2,84.52,59.6,68.4,42.32,57.506741491144965,29.55382730968071,5.78475188726487,6.118123620257152
Calvert County,1227,15.7,14062,31.1,93.9,0,0,NA,NA,24009,92515,73328,11481,114,1970,47,4018,120295,94.74,95,63.8,72.8,49.75,79.26066043344323,12.409879479003404,4.343079500621521,2.129384424147436
Caroline County,355,13.8,13268,16.9,83.9,0,0,NA,NA,24011,33234,25599,4535,151,186,0,2557,63027,89.76,85.21,44.5,55.6,59.60,77.02653908647771,13.645664078955285,7.693927905157369,0.5596678100740206
Carroll County,2121,14.3,13753,35.6,92.2,1,1,3126,2888,24013,172148,154351,6230,351,3752,56,6691,104708,94.99,93.08,58.2,73,43.79,89.66180263494202,3.6189790180542323,3.886771847480075,2.1795199479517624
Cecil County,1097,12.9,13641,22.8,89,1,0,2371,NA,24015,103370,89109,6897,94,1454,36,4842,81817,91.88,89.38,49.3,59.6,32.51,86.20392763857986,6.672148592434943,4.684144335880816,1.4065976588952307
Charles County,2107,15.2,13857,28.9,93.1,1,0,6351,NA,24017,165209,66166,78989,828,5534,35,10524,107808,93.58,92.63,60.8,65.6,38.01,40.049876217397355,47.81155990291086,6.370113008371215,3.3496964451089224
Dorchester County,261,12.5,14700,20.8,86.9,0,1,NA,NA,24019,32486,20698,8226,3,429,0,1923,55652,80.06,81.57,41.8,50.5,45.49,63.71359970448809,25.321677030105278,5.919473003755464,1.3205688604321861
Frederick County,3032,16,12682,40.6,92.4,1,2,6112,4412,24021,267498,204273,25804,476,12338,105,27867,106129,93.73,93.12,70.3,77.7,31.06,76.36430926586367,9.646427263007574,10.417647982414822,4.612370933614457
Garrett County,266,13.7,14949,20.1,89.3,1,0,648,NA,24023,28955,27851,397,62,135,11,352,58011,91.64,94.03,59.2,68.9,84.82,96.1871870143326,1.3710930754619237,1.2156795026765672,0.46624071835606973
Harford County,2679,14.7,13005,35.8,92.8,1,0,5705,NA,24025,259162,198632,36290,303,7579,92,12396,98495,89.19,88.73,71.6,79.6,41.33,76.6439524312978,14.002824488157986,4.783108634753551,2.9244256488219724
Howard County,4025,13.3,15449,61.4,95.5,1,2,9340,1446,24027,329248,173510,64236,833,61674,215,23819,129549,94.05,94.59,72.2,86.9,25.61,52.698877441928275,19.509913499854214,7.234364369715229,18.731776654679756
Kent County,146,11.5,14814,34.2,88,0,1,NA,1288,24029,19335,15201,2710,8,201,11,900,64451,95,92.65,35.2,59.5,66.15,78.61908456167572,14.016033100594777,4.654771140418929,1.039565554693561
Montgomery County,10970,14.5,15829,59,91.3,1,4,21260,3085,24031,1057201,516438,194536,3781,160549,361,208216,117345,91.37,90.34,67.9,75.4,14.22,48.849556517634774,18.401041996744233,19.695024881739613,15.186232324789703
Prince George's County,7898,14,14850,32.7,86.5,1,5,11789,106543,24033,957767,143229,589205,3363,40363,370,185394,91124,77.6,76.57,47.4,58.8,3.11,14.95447222549952,61.51861569671956,19.35689995583477,4.214281761639313
Queen Anne's County,557,14.8,13118,34.9,92.1,1,0,2184,NA,24035,49702,42831,2855,24,549,11,2142,99597,95,94.21,59.2,72.5,48.03,86.17560661542795,5.7442356444408675,4.309685726932518,1.1045833165667378
St. Mary's County,1175,16.3,12907,31.5,89.8,0,1,NA,1512,24037,113209,85113,15970,53,2825,22,6186,102859,91.02,90.14,56.1,59.8,47.50,75.1821851619571,14.106652297962178,5.464229875716595,2.495384642563754
Somerset County,153,12.4,16563,15.7,81.9,0,1,NA,2886,24039,24834,12965,10167,59,229,0,948,48661,75,81.43,50.3,54.6,69.40,52.20665217041153,40.939840541193526,3.8173471853104615,0.9221228960296368
Talbot County,341,14.4,12731,38.6,90.6,0,0,NA,NA,24041,37510,30164,4251,245,474,0,2647,79349,95,95,51.6,62,47.60,80.415889096241,11.332977872567316,7.056784857371367,1.263663023193815
Washington County,1698,15.6,13220,21.4,86.9,1,0,3836,NA,24043,153956,122969,16827,206,2742,134,8862,67349,90.91,90.79,54.5,62.2,53.60,79.87282080594456,10.929746161240873,5.756190080282678,1.7810283457611265
Wicomico County,924,13,13843,26.8,88.1,1,1,2891,8617,24045,103223,65881,26941,172,3017,26,5695,63610,83.11,84.8,51.4,61,33.20,63.823953963748394,26.09980333840326,5.51718124836519,2.9227982135764314
Worcester County,453,11.3,17814,30.4,90.9,0,0,NA,NA,24047,52322,42727,6468,30,709,0,1943,71262,91.71,93.46,55.3,68.9,56.32,81.6616337295975,12.361912770918543,3.7135430602805704,1.3550705248270325
